Biosample_RunID	Reads	Bases	Avg_Length
SAMEA7724275_ERR5004054	13144	1952181	148.5225959
SAMEA7724328_ERR5004956	13254	1970572	148.6775313
SAMEA7724324_ERR5004952	13288	1974243	148.5733745
SAMEA7723545_ERR5003507	13580	1922730	141.5854197
SAMEA7724124_ERR5003715	13748	2038417	148.2700756
SAMEA7724113_ERR5004491	14086	2094173	148.6705239
SAMEA7724335_ERR5004176	14418	2142853	148.6234568
SAMEA7724250_ERR5004014	14432	2143805	148.5452467
SAMEA7723892_ERR5003651	14826	2196984	148.1845407
SAMEA7724124_ERR5004502	15126	2244714	148.4010313
SAMEA7724407_ERR5004013	15130	2247276	148.5311302
SAMEA7723961_ERR5003980	15384	2288884	148.7834113
SAMEA7723892_ERR5004438	15420	2284586	148.1573281
SAMEA7723626_ERR5005189	15614	2322084	148.7180735
SAMEA7723961_ERR5002004	15808	2329667	147.3726594
SAMEA7724250_ERR5004801	16092	2390659	148.5619563
SAMEA7723961_ERR5003283	16592	2442315	147.1983486
SAMEA7723961_ERR5004767	16650	2478711	148.8715315
SAMEA7724002_ERR5004195	16826	2494417	148.2477713
SAMEA7724407_ERR5004800	16884	2509105	148.6084459
SAMEA7724002_ERR5004982	17196	2551855	148.398174
SAMEA7723489_ERR5003983	19288	2868467	148.7177001
SAMEA7723489_ERR5004770	20138	2997495	148.8477009
SAMEA7724122_ERR5003713	23110	3429180	148.3851147
SAMEA7723546_ERR5005066	23938	3564140	148.890467
SAMEA7724122_ERR5004500	26054	3868187	148.4680663
SAMEA7724311_ERR5004152	26860	3991302	148.5965004
SAMEA7724245_ERR5004795	28130	4179240	148.5687878
SAMEA7724311_ERR5004939	28278	4204694	148.6913502
SAMEA7724330_ERR5004171	29662	4406217	148.5475356
SAMEA7724126_ERR5004504	35592	5282701	148.4238312
SAMEA7723740_ERR5004292	36384	5411147	148.7232575
SAMEA7723684_ERR5004931	38480	5713620	148.4828482
SAMEA7724219_ERR5003906	39590	5878327	148.480096
SAMEA7723867_ERR5003610	41744	6202794	148.5912706
SAMEA7724219_ERR5004693	43882	6518626	148.5489722
SAMEA7723975_ERR5004094	44718	6634471	148.3624268
SAMEA7723486_ERR5004766	45102	6700297	148.5587557
SAMEA7723549_ERR5005070	46052	6846983	148.6793842
SAMEA7723975_ERR5004881	46864	6955876	148.4268522
SAMEA7723493_ERR5003290	47336	7065181	149.2559785
SAMEA7723493_ERR5002011	47632	7107499	149.216892
SAMEA7724259_ERR5004038	47822	7092204	148.3042115
SAMEA7724341_ERR5004182	49566	7368034	148.6509704
SAMEA7724044_ERR5004287	52558	7806112	148.5237642
SAMEA7724341_ERR5004969	53154	7901940	148.6612484
SAMEA7724044_ERR5005074	54690	8126882	148.5990492
SAMEA7724259_ERR5004825	55098	8176724	148.4032814
SAMEA7723494_ERR5003991	55324	8230627	148.771365
SAMEA7723494_ERR5004778	58352	8686401	148.8620956
SAMEA7723651_ERR5004623	61916	9202071	148.6218586
SAMEA7724148_ERR5003793	62492	9295923	148.7538085
SAMEA7723657_ERR5003851	63196	9397897	148.7103139
SAMEA7723433_ERR5003690	63944	9491740	148.438321
SAMEA7723651_ERR5005236	64690	9616888	148.6611223
SAMEA7724148_ERR5004580	65450	9739077	148.8017876
SAMEA7723657_ERR5004638	65652	9768569	148.793167
SAMEA7724138_ERR5003775	67528	10009775	148.2314744
SAMEA7723433_ERR5004477	69968	10392434	148.5312429
SAMEA7724331_ERR5004172	70102	10412291	148.530584
SAMEA7723484_ERR5003976	71316	10572711	148.2515985
SAMEA7723960_ERR5003978	72306	10759753	148.8085774
SAMEA7723870_ERR5003613	72820	10834711	148.7875721
SAMEA7724370_ERR5004021	74018	10991348	148.4956092
SAMEA7723684_ERR5005332	74786	11104525	148.4840077
SAMEA7724370_ERR5004808	75988	11289444	148.568774
SAMEA7723960_ERR5004765	76282	11356409	148.8740332
SAMEA7723870_ERR5004400	76396	11371126	148.8445207
SAMEA7724331_ERR5004959	76940	11433625	148.604432
SAMEA7724242_ERR5004005	78438	11655516	148.5952727
SAMEA7723853_ERR5003591	79782	11855523	148.5989697
SAMEA7723498_ERR5004022	80190	11920158	148.6489338
SAMEA7723484_ERR5004763	80200	11895873	148.3275935
SAMEA7723498_ERR5004809	82536	12273885	148.7094722
SAMEA7723853_ERR5004378	84704	12591740	148.6557896
SAMEA7724301_ERR5004080	85216	12681520	148.8161848
SAMEA7723499_ERR5004023	85336	12686460	148.6648073
SAMEA7724127_ERR5003718	85520	12709895	148.618978
SAMEA7723962_ERR5002006	87088	12738956	146.2768234
SAMEA7724234_ERR5003997	88030	13077622	148.5586959
SAMEA7723518_ERR5004897	88694	13193869	148.7571764
SAMEA7723962_ERR5003285	89168	13049100	146.3428584
SAMEA7724257_ERR5004036	89466	13278890	148.4238705
SAMEA7724144_ERR5004573	91374	13567385	148.4818986
SAMEA7724127_ERR5004505	91600	13619207	148.6812991
SAMEA7724258_ERR5004824	91788	13624385	148.433183
SAMEA7723869_ERR5003612	93116	13856467	148.808658
SAMEA7723497_ERR5003996	94952	14100847	148.5050025
SAMEA7723869_ERR5004399	97714	14542274	148.8248767
SAMEA7724295_ERR5004074	98356	14620626	148.6500671
SAMEA7724054_ERR5005090	98370	14591507	148.3328962
SAMEA7724257_ERR5004823	99256	14741703	148.5220339
SAMEA7723497_ERR5004783	101262	15045246	148.577413
SAMEA7723964_ERR5003990	102968	15321969	148.8032107
SAMEA7723694_ERR5004217	103178	15346438	148.7375022
SAMEA7723964_ERR5004777	106902	15909478	148.8230155
SAMEA7723694_ERR5005004	108400	16134250	148.8399446
SAMEA7724155_ERR5005204	110744	16486033	148.8661508
SAMEA7723427_ERR5003674	111184	16520474	148.5867931
SAMEA7723492_ERR5003987	114070	16949096	148.5850443
SAMEA7723657_ERR5005251	114700	17064506	148.7751177
SAMEA7723552_ERR5004291	116814	17376902	148.7570154
SAMEA7723427_ERR5004461	119766	17801383	148.634696
SAMEA7723970_ERR5004033	120472	17925597	148.7947158
SAMEA7724102_ERR5003680	122022	18117346	148.4760617
SAMEA7723552_ERR5005078	122684	18253632	148.7857585
SAMEA7723973_ERR5004878	123594	18372722	148.6538343
SAMEA7724290_ERR5004069	124372	18464311	148.4603528
SAMEA7723492_ERR5004774	124452	18498969	148.6434047
SAMEA7724138_ERR5005175	124570	18475200	148.3117926
SAMEA7723970_ERR5004820	125656	18699607	148.8158703
SAMEA7724155_ERR5003804	127054	18889856	148.6758071
SAMEA7724123_ERR5004501	127580	18940033	148.4561295
SAMEA7724142_ERR5003784	129092	19195250	148.694342
SAMEA7724052_ERR5005085	130776	19428305	148.5617009
SAMEA7724102_ERR5004467	133974	19900179	148.5376192
SAMEA7724155_ERR5004591	134016	19933915	148.7427994
SAMEA7723959_ERR5003971	134510	20011688	148.7747231
SAMEA7724290_ERR5004856	134978	20046940	148.5200551
SAMEA7724104_ERR5003685	135622	20151699	148.5872425
SAMEA7724142_ERR5004571	137636	20471213	148.7344372
SAMEA7723637_ERR5003813	139262	20719360	148.7797102
SAMEA7724051_ERR5004297	140224	20856108	148.7342252
SAMEA7723959_ERR5004758	142108	21151734	148.842669
SAMEA7724281_ERR5004060	142272	21128642	148.508786
SAMEA7723637_ERR5004600	145192	21607316	148.8189156
SAMEA7724051_ERR5005084	146492	21794973	148.7792712
SAMEA7724104_ERR5004472	149372	22202914	148.6417401
SAMEA7724144_ERR5005186	149446	22187558	148.4653855
SAMEA7724103_ERR5004469	152242	22596681	148.4260651
SAMEA7724281_ERR5004847	155926	23169708	148.5942562
SAMEA7723931_ERR5003919	159834	23743392	148.550321
