Biosample	Reads	Bases
SAMEA7724305	11213698	1676851295
SAMEA7724288	11184890	1674119123
SAMEA7724303	11089576	1659093126
SAMEA7723859	11019662	1647434062
SAMEA7724172	10852636	1608205943
SAMEA7724270	10770288	1610792696
SAMEA7723921	10663144	1577974463
SAMEA7723417	10639344	1586542913
SAMEA7723963	10632686	1589954078
SAMEA7724206	10574940	1576354004
SAMEA7724342	10560836	1574894095
SAMEA7723904	10358790	1541885046
SAMEA7724181	10349514	1532083250
SAMEA7724004	10301598	1537066115
SAMEA7724239	10294170	1539936026
SAMEA7724167	10282660	1506127174
SAMEA7724191	10265744	1494245958
SAMEA7723854	10239842	1529123818
SAMEA7723919	10198058	1413135568
SAMEA7724382	10170246	1513328105
SAMEA7724371	10161664	1510047932
SAMEA7723727	10142388	1488476591
SAMEA7723619	10121966	1506707744
SAMEA7723862	10101960	1508742764
SAMEA7723491	10075344	1504550399
SAMEA7724268	10044560	1501631442
SAMEA7723650	10013100	1489759256
SAMEA7724013	9975312	1360630578
SAMEA7723560	9958740	1486554111
SAMEA7723531	9933092	1480245746
SAMEA7724180	9926502	1475246551
SAMEA7723661	9914554	1475056459
SAMEA7723705	9890352	1471186832
SAMEA7724188	9857752	1465748156
SAMEA7723427	9814752	1463613394
SAMEA7723401	9813638	1463209163
SAMEA7723855	9723920	1451642519
SAMEA7724030	9720140	1451818954
SAMEA7723885	9688980	1451409294
SAMEA7724179	9637710	1431713108
SAMEA7723615	9625490	1417001970
SAMEA7724185	9609688	1429178417
SAMEA7723927	9507536	1417920775
SAMEA7723541	9493846	1409824506
SAMEA7723734	9484738	1397888755
SAMEA7723903	9473382	1389721623
SAMEA7723507	9448184	1406857863
SAMEA7723993	9395310	1403328223
SAMEA7723666	9317864	1387482363
SAMEA7723556	9295252	1381634418
SAMEA7723723	9194792	1360970630
SAMEA7723992	9182124	1369846837
SAMEA7724225	9144322	1366824488
SAMEA7723902	9035494	1349476239
SAMEA7723743	9012082	1344278923
SAMEA7724108	8928070	1334232004
SAMEA7724109	8922294	1332748852
SAMEA7723709	8884672	1321079334
SAMEA7723957	8837660	1317668857
SAMEA7723702	8803670	1307418301
SAMEA7723433	8769412	1305831272
SAMEA7723717	8535530	1269347073
SAMEA7723896	8449926	1259904140
SAMEA7724105	8429630	1257977443
SAMEA7723725	8404108	1249470061
SAMEA7723658	8377132	1245462043
SAMEA7723558	8333968	1242431056
SAMEA7724059	8322092	1236779405
SAMEA7723887	8320430	1245120411
SAMEA7724283	8250280	1233376533
SAMEA7723460	8145936	1216491575
