Biosample,Reads,Bases,projectGoldId,biosampleGoldId,sequencingStrategy
SAMEA7723445,20756434,3101753688,Gp0452702,Gb0240076,Metagenome
SAMEA7724314,20734606,3100492109,Gp0452654,Gb0240028,Metagenome
SAMEA7724314,20734606,3100492109,Gp0619326,Gb0240028,Targeted Gene Survey
SAMEA7723466,20729140,3066522165,Gp0619419,Gb0315680,Targeted Gene Survey
SAMEA7723466,20729140,3066522165,Gp0618774,Gb0315680,Metagenome
SAMEA7724061,20610860,3076980237,Gp0619943,Gb0297466,Targeted Gene Survey
SAMEA7724061,20610860,3076980237,Gp0578411,Gb0297466,Metagenome
SAMEA7723936,20606776,3060855446,Gp0619824,Gb0297402,Targeted Gene Survey
SAMEA7723936,20606776,3060855446,Gp0578347,Gb0297402,Metagenome
SAMEA7723900,20532602,3069763144,Gp0619800,Gb0297394,Targeted Gene Survey
SAMEA7723900,20532602,3069763144,Gp0578339,Gb0297394,Metagenome
SAMEA7724163,20486078,3046364968,Gp0619104,Gb0316010,Metagenome
SAMEA7724163,20486078,3046364968,Gp0620018,Gb0316010,Targeted Gene Survey
SAMEA7724005,20479854,3039794705,Gp0578382,Gb0297437,Metagenome
SAMEA7724005,20479854,3039794705,Gp0619887,Gb0297437,Targeted Gene Survey
SAMEA7724204,20451872,3051521177,Gp0619221,Gb0240065,Targeted Gene Survey
SAMEA7724204,20451872,3051521177,Gp0452691,Gb0240065,Metagenome
SAMEA7723425,20314810,3029421940,Gp0619394,Gb0297328,Targeted Gene Survey
SAMEA7723425,20314810,3029421940,Gp0577708,Gb0297328,Metagenome
SAMEA7724060,20206134,3023998700,Gp0619942,Gb0297465,Targeted Gene Survey
SAMEA7724060,20206134,3023998700,Gp0578410,Gb0297465,Metagenome
SAMEA7724299,20137224,2994330126,Gp0452546,Gb0239920,Metagenome
SAMEA7724299,20137224,2994330126,Gp0619311,Gb0239920,Targeted Gene Survey
SAMEA7723882,20045458,2977598622,Gp0618884,Gb0315790,Metagenome
SAMEA7723882,20045458,2977598622,Gp0619782,Gb0315790,Targeted Gene Survey
SAMEA7723933,20022800,2989195046,Gp0619821,Gb0297399,Targeted Gene Survey
SAMEA7723933,20022800,2989195046,Gp0578344,Gb0297399,Metagenome
SAMEA7724047,20004614,2993933543,Gp0618789,Gb0315695,Metagenome
SAMEA7724047,20004614,2993933543,Gp0619929,Gb0315695,Targeted Gene Survey
SAMEA7723448,19995176,2984863070,Gp0619159,Gb0240080,Targeted Gene Survey
SAMEA7723448,19995176,2984863070,Gp0452706,Gb0240080,Metagenome
SAMEA7723863,19981226,2986580193,Gp0619763,Gb0315732,Targeted Gene Survey
SAMEA7723863,19981226,2986580193,Gp0618826,Gb0315732,Metagenome
SAMEA7724345,19943474,2972312803,Gp0619347,Gb0240049,Targeted Gene Survey
SAMEA7724345,19943474,2972312803,Gp0452675,Gb0240049,Metagenome
SAMEA7723408,19907804,2975754373,Gp0619377,Gb0315782,Targeted Gene Survey
SAMEA7723408,19907804,2975754373,Gp0618876,Gb0315782,Metagenome
SAMEA7723708,19876804,2966263901,Gp0619656,Gb0315820,Targeted Gene Survey
SAMEA7723708,19876804,2966263901,Gp0618914,Gb0315820,Metagenome
SAMEA7723468,19875578,2965201203,Gp0619421,Gb0315674,Targeted Gene Survey
SAMEA7723468,19875578,2965201203,Gp0618768,Gb0315674,Metagenome
SAMEA7723699,19791586,2944519982,Gp0618905,Gb0315811,Metagenome
SAMEA7723699,19791586,2944519982,Gp0619647,Gb0315811,Targeted Gene Survey
SAMEA7723701,19758342,2939995205,Gp0619649,Gb0315813,Targeted Gene Survey
SAMEA7723701,19758342,2939995205,Gp0618907,Gb0315813,Metagenome
SAMEA7723858,19713180,2948793897,Gp0619758,Gb0315727,Targeted Gene Survey
SAMEA7723858,19713180,2948793897,Gp0618821,Gb0315727,Metagenome
SAMEA7723872,19706312,2935181579,Gp0578246,Gb0297381,Metagenome
SAMEA7723872,19706312,2935181579,Gp0619772,Gb0297381,Targeted Gene Survey
SAMEA7724285,19650838,2930225028,Gp0619297,Gb0239937,Targeted Gene Survey
SAMEA7724285,19650838,2930225028,Gp0452563,Gb0239937,Metagenome
SAMEA7723677,19639838,2935880728,Gp0619625,Gb0315676,Targeted Gene Survey
SAMEA7723677,19639838,2935880728,Gp0618770,Gb0315676,Metagenome
SAMEA7723396,19604652,2930061457,Gp0619365,Gb0315749,Targeted Gene Survey
SAMEA7723396,19604652,2930061457,Gp0618843,Gb0315749,Metagenome
SAMEA7723465,19594958,2865158680,Gp0619418,Gb0315673,Targeted Gene Survey
SAMEA7723465,19594958,2865158680,Gp0618767,Gb0315673,Metagenome
SAMEA7723850,19408152,2894473837,Gp0619750,Gb0315767,Targeted Gene Survey
SAMEA7723850,19408152,2894473837,Gp0618861,Gb0315767,Metagenome
SAMEA7724110,19363568,2883704515,Gp0452582,Gb0239956,Metagenome
SAMEA7724110,19363568,2883704515,Gp0619193,Gb0239956,Targeted Gene Survey
SAMEA7723878,19341978,2880734601,Gp0578307,Gb0297387,Metagenome
SAMEA7723878,19341978,2880734601,Gp0619778,Gb0297387,Targeted Gene Survey
SAMEA7724161,19329926,2874702488,Gp0619102,Gb0316008,Metagenome
SAMEA7724161,19329926,2874702488,Gp0620016,Gb0316008,Targeted Gene Survey
SAMEA7723852,19230512,2872537141,Gp0618863,Gb0315769,Metagenome
SAMEA7723852,19230512,2872537141,Gp0619752,Gb0315769,Targeted Gene Survey
SAMEA7723934,19187862,2861093487,Gp0619822,Gb0297400,Targeted Gene Survey
SAMEA7723934,19187862,2861093487,Gp0578345,Gb0297400,Metagenome
SAMEA7724111,19165446,2865248633,Gp0452583,Gb0239957,Metagenome
SAMEA7724111,19165446,2865248633,Gp0619194,Gb0239957,Targeted Gene Survey
SAMEA7723874,19154958,2853360228,Gp0619774,Gb0297383,Targeted Gene Survey
SAMEA7723874,19154958,2853360228,Gp0578263,Gb0297383,Metagenome
SAMEA7723864,19141800,2862876251,Gp0618827,Gb0315733,Metagenome
SAMEA7723864,19141800,2862876251,Gp0619764,Gb0315733,Targeted Gene Survey
SAMEA7723937,19107586,2852912648,Gp0619825,Gb0297403,Targeted Gene Survey
SAMEA7723937,19107586,2852912648,Gp0578348,Gb0297403,Metagenome
SAMEA7724066,18984210,2831351740,Gp0578416,Gb0297471,Metagenome
SAMEA7724066,18984210,2831351740,Gp0619948,Gb0297471,Targeted Gene Survey
SAMEA7724246,18737556,2796667638,Gp0619258,Gb0239977,Targeted Gene Survey
SAMEA7724246,18737556,2796667638,Gp0452603,Gb0239977,Metagenome
SAMEA7723898,18727270,2792451963,Gp0619798,Gb0297392,Targeted Gene Survey
SAMEA7723898,18727270,2792451963,Gp0578337,Gb0297392,Metagenome
SAMEA7723399,18692042,2786208037,Gp0577484,Gb0297313,Metagenome
SAMEA7723399,18692042,2786208037,Gp0619368,Gb0297313,Targeted Gene Survey
SAMEA7723538,18683634,2771519718,Gp0619489,Gb0315896,Targeted Gene Survey
SAMEA7723538,18683634,2771519718,Gp0618990,Gb0315896,Metagenome
SAMEA7723647,18652036,2774491436,Gp0619595,Gb0315928,Targeted Gene Survey
SAMEA7723647,18652036,2774491436,Gp0619022,Gb0315928,Metagenome
SAMEA7723935,18629794,2779084070,Gp0619823,Gb0297401,Targeted Gene Survey
SAMEA7723935,18629794,2779084070,Gp0578346,Gb0297401,Metagenome
SAMEA7724294,18585076,2760412012,Gp0619306,Gb0240015,Targeted Gene Survey
SAMEA7724294,18585076,2760412012,Gp0452641,Gb0240015,Metagenome
SAMEA7724128,18576862,2778295494,Gp0452576,Gb0239950,Metagenome
SAMEA7724128,18576862,2778295494,Gp0619211,Gb0239950,Targeted Gene Survey
SAMEA7723397,18423006,2752698360,Gp0619366,Gb0315750,Targeted Gene Survey
SAMEA7723397,18423006,2752698360,Gp0618844,Gb0315750,Metagenome
SAMEA7723703,18340788,2728858109,Gp0618909,Gb0315815,Metagenome
SAMEA7723703,18340788,2728858109,Gp0619651,Gb0315815,Targeted Gene Survey
SAMEA7723431,18335720,2733459671,Gp0619150,Gb0240118,Targeted Gene Survey
SAMEA7723431,18335720,2733459671,Gp0452744,Gb0240118,Metagenome
SAMEA7723876,18286316,2726331258,Gp0578281,Gb0297385,Metagenome
SAMEA7723876,18286316,2726331258,Gp0619776,Gb0297385,Targeted Gene Survey
SAMEA7724306,18262970,2725169385,Gp0452553,Gb0239927,Metagenome
SAMEA7724306,18262970,2725169385,Gp0619318,Gb0239927,Targeted Gene Survey
SAMEA7723474,18221606,2717949430,Gp0619427,Gb0315447,Targeted Gene Survey
SAMEA7723474,18221606,2717949430,Gp0618541,Gb0315447,Metagenome
SAMEA7723997,18216790,2719224099,Gp0619879,Gb0315982,Targeted Gene Survey
SAMEA7723997,18216790,2719224099,Gp0619076,Gb0315982,Metagenome
SAMEA7724300,18216190,2716667147,Gp0452547,Gb0239921,Metagenome
SAMEA7724300,18216190,2716667147,Gp0619312,Gb0239921,Targeted Gene Survey
SAMEA7723995,18189818,2709996777,Gp0619877,Gb0315980,Targeted Gene Survey
SAMEA7723995,18189818,2709996777,Gp0619074,Gb0315980,Metagenome
SAMEA7724207,18047160,2675136671,Gp0452717,Gb0240091,Metagenome
SAMEA7724207,18047160,2675136671,Gp0619224,Gb0240091,Targeted Gene Survey
SAMEA7724282,18037630,2693586595,Gp0619294,Gb0240014,Targeted Gene Survey
SAMEA7724282,18037630,2693586595,Gp0452640,Gb0240014,Metagenome
SAMEA7723539,18035544,2695456379,Gp0619490,Gb0297354,Targeted Gene Survey
SAMEA7723539,18035544,2695456379,Gp0577951,Gb0297354,Metagenome
SAMEA7723599,17985186,2681983082,Gp0618852,Gb0315758,Metagenome
SAMEA7723599,17985186,2681983082,Gp0619550,Gb0315758,Targeted Gene Survey
SAMEA7723958,17912752,2673233756,Gp0619840,Gb0297418,Targeted Gene Survey
SAMEA7723958,17912752,2673233756,Gp0578363,Gb0297418,Metagenome
SAMEA7723426,17866092,2660972316,Gp0619395,Gb0297329,Targeted Gene Survey
SAMEA7723426,17866092,2660972316,Gp0577731,Gb0297329,Metagenome
SAMEA7723642,17864228,2656687620,Gp0619590,Gb0315923,Targeted Gene Survey
SAMEA7723642,17864228,2656687620,Gp0619017,Gb0315923,Metagenome
SAMEA7723645,17744882,2638829375,Gp0619593,Gb0315926,Targeted Gene Survey
SAMEA7723645,17744882,2638829375,Gp0619020,Gb0315926,Metagenome
SAMEA7723914,17711420,2640422324,Gp0618874,Gb0315780,Metagenome
SAMEA7723914,17711420,2640422324,Gp0619807,Gb0315780,Targeted Gene Survey
SAMEA7723635,17643512,2625713734,Gp0619010,Gb0315916,Metagenome
SAMEA7723635,17643512,2625713734,Gp0619583,Gb0315916,Targeted Gene Survey
SAMEA7724280,17634852,2632301589,Gp0452638,Gb0240012,Metagenome
SAMEA7724280,17634852,2632301589,Gp0619292,Gb0240012,Targeted Gene Survey
SAMEA7724315,17629380,2633860399,Gp0452655,Gb0240029,Metagenome
SAMEA7724315,17629380,2633860399,Gp0619327,Gb0240029,Targeted Gene Survey
SAMEA7723406,17487798,2590336783,Gp0619375,Gb0315789,Targeted Gene Survey
SAMEA7723406,17487798,2590336783,Gp0618883,Gb0315789,Metagenome
SAMEA7723929,17429912,2596513526,Gp0578340,Gb0297395,Metagenome
SAMEA7723929,17429912,2596513526,Gp0619817,Gb0297395,Targeted Gene Survey
SAMEA7724174,17397636,2555072427,Gp0619115,Gb0316021,Metagenome
SAMEA7724174,17397636,2555072427,Gp0620029,Gb0316021,Targeted Gene Survey
SAMEA7724212,17393148,2603776902,Gp0619229,Gb0240056,Targeted Gene Survey
SAMEA7724212,17393148,2603776902,Gp0452682,Gb0240056,Metagenome
SAMEA7724140,17373766,2571447259,Gp0619081,Gb0315987,Metagenome
SAMEA7724140,17373766,2571447259,Gp0619995,Gb0315987,Targeted Gene Survey
SAMEA7723718,17342600,2578719934,Gp0619666,Gb0315830,Targeted Gene Survey
SAMEA7723718,17342600,2578719934,Gp0618924,Gb0315830,Metagenome
SAMEA7723942,17320516,2577305642,Gp0578353,Gb0297408,Metagenome
SAMEA7723942,17320516,2577305642,Gp0619830,Gb0297408,Targeted Gene Survey
SAMEA7723555,17199962,2550493892,Gp0619506,Gb0297361,Targeted Gene Survey
SAMEA7723555,17199962,2550493892,Gp0578056,Gb0297361,Metagenome
SAMEA7724325,17184348,2567918954,Gp0618755,Gb0315661,Metagenome
SAMEA7724325,17184348,2567918954,Gp0620058,Gb0315661,Targeted Gene Survey
SAMEA7723402,17118298,2548745856,Gp0577524,Gb0297316,Metagenome
SAMEA7723402,17118298,2548745856,Gp0619371,Gb0297316,Targeted Gene Survey
SAMEA7724293,16998046,2532233134,Gp0619305,Gb0240020,Targeted Gene Survey
SAMEA7724293,16998046,2532233134,Gp0452646,Gb0240020,Metagenome
SAMEA7723695,16944912,2518118716,Gp0619643,Gb0315807,Targeted Gene Survey
SAMEA7723695,16944912,2518118716,Gp0618901,Gb0315807,Metagenome
SAMEA7723691,16892346,2525519054,Gp0618897,Gb0315803,Metagenome
SAMEA7723691,16892346,2525519054,Gp0619639,Gb0315803,Targeted Gene Survey
SAMEA7723849,16886442,2515727719,Gp0619749,Gb0315766,Targeted Gene Survey
SAMEA7723849,16886442,2515727719,Gp0618860,Gb0315766,Metagenome
SAMEA7723895,16797694,2505519455,Gp0619795,Gb0297389,Targeted Gene Survey
SAMEA7723895,16797694,2505519455,Gp0578334,Gb0297389,Metagenome
SAMEA7724336,16749024,2483330194,Gp0619338,Gb0240040,Targeted Gene Survey
SAMEA7724336,16749024,2483330194,Gp0452666,Gb0240040,Metagenome
SAMEA7723420,16744216,2493490918,Gp0577620,Gb0297323,Metagenome
SAMEA7723420,16744216,2493490918,Gp0619389,Gb0297323,Targeted Gene Survey
SAMEA7724048,16740364,2504442874,Gp0618790,Gb0315696,Metagenome
SAMEA7724048,16740364,2504442874,Gp0619930,Gb0315696,Targeted Gene Survey
SAMEA7723442,16739062,2503772468,Gp0619402,Gb0315757,Targeted Gene Survey
SAMEA7723442,16739062,2503772468,Gp0618851,Gb0315757,Metagenome
SAMEA7723643,16692534,2482827085,Gp0619018,Gb0315924,Metagenome
SAMEA7723643,16692534,2482827085,Gp0619591,Gb0315924,Targeted Gene Survey
SAMEA7723605,16663088,2491402880,Gp0578133,Gb0297368,Metagenome
SAMEA7723605,16663088,2491402880,Gp0619556,Gb0297368,Targeted Gene Survey
SAMEA7723559,16525350,2468332044,Gp0619510,Gb0297365,Targeted Gene Survey
SAMEA7723559,16525350,2468332044,Gp0578102,Gb0297365,Metagenome
SAMEA7723544,16472568,2454319076,Gp0619495,Gb0297359,Targeted Gene Survey
SAMEA7723544,16472568,2454319076,Gp0578032,Gb0297359,Metagenome
SAMEA7723418,16340900,2422530078,Gp0577584,Gb0297321,Metagenome
SAMEA7723418,16340900,2422530078,Gp0619387,Gb0297321,Targeted Gene Survey
SAMEA7724007,16325962,2428154199,Gp0619889,Gb0297439,Targeted Gene Survey
SAMEA7724007,16325962,2428154199,Gp0578384,Gb0297439,Metagenome
SAMEA7723504,16284436,2373005909,Gp0618743,Gb0315649,Metagenome
SAMEA7723504,16284436,2373005909,Gp0619455,Gb0315649,Targeted Gene Survey
SAMEA7724137,16273264,2421588011,Gp0619992,Gb0315984,Targeted Gene Survey
SAMEA7724137,16273264,2421588011,Gp0619078,Gb0315984,Metagenome
SAMEA7724147,16119888,2394902506,Gp0620002,Gb0315994,Targeted Gene Survey
SAMEA7724147,16119888,2394902506,Gp0619088,Gb0315994,Metagenome
SAMEA7723938,16096492,2391567834,Gp0578349,Gb0297404,Metagenome
SAMEA7723938,16096492,2391567834,Gp0619826,Gb0297404,Targeted Gene Survey
SAMEA7724240,16076476,2404713587,Gp0619252,Gb0239971,Targeted Gene Survey
SAMEA7724240,16076476,2404713587,Gp0452597,Gb0239971,Metagenome
SAMEA7723511,16015366,2387942389,Gp0619462,Gb0297353,Targeted Gene Survey
SAMEA7723511,16015366,2387942389,Gp0577943,Gb0297353,Metagenome
SAMEA7724169,15956116,2366214014,Gp0620024,Gb0316016,Targeted Gene Survey
SAMEA7724169,15956116,2366214014,Gp0619110,Gb0316016,Metagenome
SAMEA7724166,15952362,2373880817,Gp0619107,Gb0316013,Metagenome
SAMEA7724166,15952362,2373880817,Gp0620021,Gb0316013,Targeted Gene Survey
SAMEA7723612,15803714,2354127982,Gp0619563,Gb0315764,Targeted Gene Survey
SAMEA7723612,15803714,2354127982,Gp0618858,Gb0315764,Metagenome
SAMEA7724053,15760054,2357131213,Gp0619935,Gb0315701,Targeted Gene Survey
SAMEA7724053,15760054,2357131213,Gp0618795,Gb0315701,Metagenome
SAMEA7723982,15756000,2352119433,Gp0619061,Gb0315967,Metagenome
SAMEA7723982,15756000,2352119433,Gp0619864,Gb0315967,Targeted Gene Survey
SAMEA7723616,15708882,2333428035,Gp0619167,Gb0240061,Targeted Gene Survey
SAMEA7723616,15708882,2333428035,Gp0452687,Gb0240061,Metagenome
SAMEA7723711,15473790,2302259686,Gp0619659,Gb0315823,Targeted Gene Survey
SAMEA7723711,15473790,2302259686,Gp0618917,Gb0315823,Metagenome
SAMEA7723470,15450440,2209723636,Gp0619423,Gb0315443,Targeted Gene Survey
SAMEA7723470,15450440,2209723636,Gp0618537,Gb0315443,Metagenome
SAMEA7724187,15382988,2281117643,Gp0620042,Gb0316034,Targeted Gene Survey
SAMEA7724187,15382988,2281117643,Gp0619128,Gb0316034,Metagenome
SAMEA7723441,15333078,2291770014,Gp0618850,Gb0315756,Metagenome
SAMEA7723441,15333078,2291770014,Gp0619401,Gb0315756,Targeted Gene Survey
SAMEA7723926,15317884,2290972324,Gp0619177,Gb0240083,Targeted Gene Survey
SAMEA7723926,15317884,2290972324,Gp0452709,Gb0240083,Metagenome
SAMEA7723540,15236304,2274449482,Gp0619491,Gb0297355,Targeted Gene Survey
SAMEA7723540,15236304,2274449482,Gp0577971,Gb0297355,Metagenome
SAMEA7724211,15212696,2274457557,Gp0619228,Gb0240101,Targeted Gene Survey
SAMEA7724211,15212696,2274457557,Gp0452727,Gb0240101,Metagenome
SAMEA7723676,15163844,2264202646,Gp0619624,Gb0315675,Targeted Gene Survey
SAMEA7723676,15163844,2264202646,Gp0618769,Gb0315675,Metagenome
SAMEA7724350,15147194,2249187341,Gp0578417,Gb0297472,Metagenome
SAMEA7724350,15147194,2249187341,Gp0620065,Gb0297472,Targeted Gene Survey
SAMEA7724319,15128152,2256295592,Gp0619331,Gb0240033,Targeted Gene Survey
SAMEA7724319,15128152,2256295592,Gp0452659,Gb0240033,Metagenome
SAMEA7723873,15096490,2247244792,Gp0578255,Gb0297382,Metagenome
SAMEA7723873,15096490,2247244792,Gp0619773,Gb0297382,Targeted Gene Survey
SAMEA7723407,15071354,2236518570,Gp0619376,Gb0315791,Targeted Gene Survey
SAMEA7723407,15071354,2236518570,Gp0618885,Gb0315791,Metagenome
SAMEA7723991,15011386,2241576555,Gp0619873,Gb0315976,Targeted Gene Survey
SAMEA7723991,15011386,2241576555,Gp0619070,Gb0315976,Metagenome
SAMEA7723463,14959274,2227287821,Gp0619416,Gb0315671,Targeted Gene Survey
SAMEA7723463,14959274,2227287821,Gp0618765,Gb0315671,Metagenome
SAMEA7723660,14937044,2218407758,Gp0619608,Gb0315941,Targeted Gene Survey
SAMEA7723660,14937044,2218407758,Gp0619035,Gb0315941,Metagenome
SAMEA7723446,14921362,2226993579,Gp0619157,Gb0240058,Targeted Gene Survey
SAMEA7723446,14921362,2226993579,Gp0452684,Gb0240058,Metagenome
SAMEA7724195,14907810,2166505248,Gp0452694,Gb0240068,Metagenome
SAMEA7724195,14907810,2166505248,Gp0619212,Gb0240068,Targeted Gene Survey
SAMEA7723930,14873384,2219576115,Gp0578341,Gb0297396,Metagenome
SAMEA7723930,14873384,2219576115,Gp0619818,Gb0297396,Targeted Gene Survey
SAMEA7724347,14708870,2189695148,Gp0452677,Gb0240051,Metagenome
SAMEA7724347,14708870,2189695148,Gp0619349,Gb0240051,Targeted Gene Survey
SAMEA7723638,14696288,2180349516,Gp0619586,Gb0315919,Targeted Gene Survey
SAMEA7723638,14696288,2180349516,Gp0619013,Gb0315919,Metagenome
SAMEA7724046,14680896,2186502104,Gp0618558,Gb0315464,Metagenome
SAMEA7724046,14680896,2186502104,Gp0619928,Gb0315464,Targeted Gene Survey
SAMEA7723646,14603406,2173835816,Gp0619021,Gb0315927,Metagenome
SAMEA7723646,14603406,2173835816,Gp0619594,Gb0315927,Targeted Gene Survey
SAMEA7723403,14561586,2174355270,Gp0619372,Gb0297317,Targeted Gene Survey
SAMEA7723403,14561586,2174355270,Gp0577534,Gb0297317,Metagenome
SAMEA7724177,14519520,2160136505,Gp0620032,Gb0316024,Targeted Gene Survey
SAMEA7724177,14519520,2160136505,Gp0619118,Gb0316024,Metagenome
SAMEA7723476,14511556,2164137329,Gp0618542,Gb0315448,Metagenome
SAMEA7723476,14511556,2164137329,Gp0619429,Gb0315448,Targeted Gene Survey
SAMEA7723439,14379234,2143586672,Gp0618848,Gb0315754,Metagenome
SAMEA7723439,14379234,2143586672,Gp0619399,Gb0315754,Targeted Gene Survey
SAMEA7723607,14370390,2144077254,Gp0618877,Gb0315783,Metagenome
SAMEA7723607,14370390,2144077254,Gp0619558,Gb0315783,Targeted Gene Survey
SAMEA7723966,14335028,2139372539,Gp0619848,Gb0297426,Targeted Gene Survey
SAMEA7723966,14335028,2139372539,Gp0578371,Gb0297426,Metagenome
SAMEA7723481,14332762,2136217473,Gp0619432,Gb0297335,Targeted Gene Survey
SAMEA7723481,14332762,2136217473,Gp0577799,Gb0297335,Metagenome
SAMEA7723469,14298094,2132302731,Gp0618781,Gb0315687,Metagenome
SAMEA7723469,14298094,2132302731,Gp0619422,Gb0315687,Targeted Gene Survey
SAMEA7723883,14175534,2096404476,Gp0619783,Gb0315793,Targeted Gene Survey
SAMEA7723883,14175534,2096404476,Gp0618887,Gb0315793,Metagenome
SAMEA7723680,14127186,2106670479,Gp0619628,Gb0315686,Targeted Gene Survey
SAMEA7723680,14127186,2106670479,Gp0618780,Gb0315686,Metagenome
SAMEA7724232,14057076,2095591262,Gp0618773,Gb0315679,Metagenome
SAMEA7724232,14057076,2095591262,Gp0620053,Gb0315679,Targeted Gene Survey
SAMEA7723682,14056708,2095575289,Gp0619630,Gb0297375,Targeted Gene Survey
SAMEA7723682,14056708,2095575289,Gp0578188,Gb0297375,Metagenome
SAMEA7724182,14046526,2087306519,Gp0620037,Gb0316029,Targeted Gene Survey
SAMEA7724182,14046526,2087306519,Gp0619123,Gb0316029,Metagenome
SAMEA7723678,14045462,2096846536,Gp0619626,Gb0315682,Targeted Gene Survey
SAMEA7723678,14045462,2096846536,Gp0618776,Gb0315682,Metagenome
SAMEA7723715,13946018,2074564068,Gp0619663,Gb0315827,Targeted Gene Survey
SAMEA7723715,13946018,2074564068,Gp0618921,Gb0315827,Metagenome
SAMEA7723614,13884280,2069263318,Gp0452703,Gb0240077,Metagenome
SAMEA7723614,13884280,2069263318,Gp0619165,Gb0240077,Targeted Gene Survey
SAMEA7723438,13867486,2040184430,Gp0618847,Gb0315753,Metagenome
SAMEA7723438,13867486,2040184430,Gp0619398,Gb0315753,Targeted Gene Survey
SAMEA7723664,13852264,2061002295,Gp0619039,Gb0315945,Metagenome
SAMEA7723664,13852264,2061002295,Gp0619612,Gb0315945,Targeted Gene Survey
SAMEA7723510,13845828,2068139117,Gp0577934,Gb0297352,Metagenome
SAMEA7723510,13845828,2068139117,Gp0619461,Gb0297352,Targeted Gene Survey
SAMEA7723907,13819220,2061813610,Gp0619174,Gb0240130,Targeted Gene Survey
SAMEA7723907,13819220,2061813610,Gp0452756,Gb0240130,Metagenome
SAMEA7723913,13762326,2053501857,Gp0618873,Gb0315779,Metagenome
SAMEA7723913,13762326,2053501857,Gp0619806,Gb0315779,Targeted Gene Survey
SAMEA7723675,13649788,2037741055,Gp0578180,Gb0297374,Metagenome
SAMEA7723675,13649788,2037741055,Gp0619623,Gb0297374,Targeted Gene Survey
SAMEA7723911,13649550,2037710723,Gp0618871,Gb0315777,Metagenome
SAMEA7723911,13649550,2037710723,Gp0619804,Gb0315777,Targeted Gene Survey
SAMEA7723551,13609364,2032880825,Gp0618784,Gb0315690,Metagenome
SAMEA7723551,13609364,2032880825,Gp0619502,Gb0315690,Targeted Gene Survey
SAMEA7723485,13481264,2007770282,Gp0577831,Gb0297339,Metagenome
SAMEA7723485,13481264,2007770282,Gp0619436,Gb0297339,Targeted Gene Survey
SAMEA7723506,13409974,2005602109,Gp0618745,Gb0315651,Metagenome
SAMEA7723506,13409974,2005602109,Gp0619457,Gb0315651,Targeted Gene Survey
SAMEA7724205,13340032,1978456366,Gp0452692,Gb0240066,Metagenome
SAMEA7724205,13340032,1978456366,Gp0619222,Gb0240066,Targeted Gene Survey
SAMEA7723697,13267088,1985226726,Gp0619645,Gb0315809,Targeted Gene Survey
SAMEA7723697,13267088,1985226726,Gp0618903,Gb0315809,Metagenome
SAMEA7723674,13230008,1979242579,Gp0578173,Gb0297373,Metagenome
SAMEA7723674,13230008,1979242579,Gp0619622,Gb0297373,Targeted Gene Survey
SAMEA7724062,13196342,1943812160,Gp0578412,Gb0297467,Metagenome
SAMEA7724062,13196342,1943812160,Gp0619944,Gb0297467,Targeted Gene Survey
SAMEA7723503,13151198,1955196071,Gp0619454,Gb0315648,Targeted Gene Survey
SAMEA7723503,13151198,1955196071,Gp0618742,Gb0315648,Metagenome
SAMEA7724189,13096108,1946664095,Gp0619130,Gb0316036,Metagenome
SAMEA7724189,13096108,1946664095,Gp0620044,Gb0316036,Targeted Gene Survey
SAMEA7723890,13067594,1952127845,Gp0619790,Gb0315955,Targeted Gene Survey
SAMEA7723890,13067594,1952127845,Gp0619049,Gb0315955,Metagenome
SAMEA7724228,13019086,1946496664,Gp0452710,Gb0240084,Metagenome
SAMEA7724228,13019086,1946496664,Gp0619245,Gb0240084,Targeted Gene Survey
SAMEA7723458,13014294,1940878794,Gp0618962,Gb0315868,Metagenome
SAMEA7723458,13014294,1940878794,Gp0619411,Gb0315868,Targeted Gene Survey
SAMEA7724351,12987590,1932210542,Gp0578418,Gb0297473,Metagenome
SAMEA7724351,12987590,1932210542,Gp0620066,Gb0297473,Targeted Gene Survey
SAMEA7723640,12935986,1922243727,Gp0619015,Gb0315921,Metagenome
SAMEA7723640,12935986,1922243727,Gp0619588,Gb0315921,Targeted Gene Survey
SAMEA7724252,12909184,1924628911,Gp0452610,Gb0239984,Metagenome
SAMEA7724252,12909184,1924628911,Gp0619264,Gb0239984,Targeted Gene Survey
SAMEA7723467,12786466,1902674433,Gp0618775,Gb0315681,Metagenome
SAMEA7723467,12786466,1902674433,Gp0619420,Gb0315681,Targeted Gene Survey
SAMEA7723949,12763670,1905806390,Gp0619184,Gb0239932,Targeted Gene Survey
SAMEA7723949,12763670,1905806390,Gp0452558,Gb0239932,Metagenome
SAMEA7723656,12735360,1889189109,Gp0619604,Gb0315937,Targeted Gene Survey
SAMEA7723656,12735360,1889189109,Gp0619031,Gb0315937,Metagenome
SAMEA7723392,12711620,1894400543,Gp0618839,Gb0315745,Metagenome
SAMEA7723392,12711620,1894400543,Gp0619361,Gb0315745,Targeted Gene Survey
SAMEA7724173,12663186,1884677526,Gp0620028,Gb0316020,Targeted Gene Survey
SAMEA7724173,12663186,1884677526,Gp0619114,Gb0316020,Metagenome
SAMEA7723714,12641916,1879651093,Gp0619662,Gb0315826,Targeted Gene Survey
SAMEA7723714,12641916,1879651093,Gp0618920,Gb0315826,Metagenome
SAMEA7723888,12553146,1863749754,Gp0619788,Gb0315787,Targeted Gene Survey
