column	unit_name	unit_count_in_column
salinity	gram per kilogram	1
salinity	litre	1
salinity	per nanoampere	1
salinity	per per mille to the 10 per mille	1
salinity	per percentage to the 7	1
salinity	poise siemens per siemens to the 78	1
salinity	siemens	1
samp_salinity	milligram per litre	62
samp_salinity	siemens per metre	35
samp_salinity	dimensionless	34
samp_salinity		22
samp_salinity	metre mole per litre	16
samp_salinity	percentage	6
samp_salinity	penny second atomic mass unit	5
samp_salinity	millisecond per centimetre	3
samp_salinity	parts-per-trillion	3
samp_salinity	per mille	3
samp_salinity	per per mille to the 10 per mille	1
samp_salinity	poise siemens atomic mass unit	1
samp_size	dimensionless	4095
samp_size		1921
samp_size	gram	1171
samp_size	cubic centimetre	764
samp_size	litre	537
samp_size	milligram	467
samp_size	centimetre	153
samp_size	gross	143
samp_size	cubic metre	104
samp_size	megabyte	92
samp_size	square centimetre	72
samp_size	kilogram	59
samp_size	atomic mass unit litre	57
samp_size	base pair	56
samp_size	megabarn	43
samp_size	cubic millimetre	32
samp_size	unk	28
samp_size	millimetre	24
samp_size	mega base pair	23
samp_size	gauss	20
samp_size	kilobarn	20
samp_size	set	19
samp_size	megapixel barn	17
samp_size	square metre	15
samp_size	giga base pair	9
samp_size	micrometre	9
samp_size	metre	8
samp_size	gallon	7
samp_size	atomic mass unit gram	5
samp_size	gram atomic mass unit tonne second	5
samp_size	microgram	5
samp_size	speed of light year stere second	5
samp_size	atomic mass unit metre	4
samp_size	day	4
samp_size	nanometre	4
samp_size	pound-mass	3
samp_size	coulomb farad atomic mass unit	2
samp_size	cubic gram	2
samp_size	gram second	2
samp_size	gram to the 10	2
samp_size	gram to the 11	2
samp_size	gram to the 12	2
samp_size	gram to the 4	2
samp_size	gram to the 5	2
samp_size	gram to the 6	2
samp_size	gram to the 7	2
samp_size	gram to the 8	2
samp_size	gram to the 9	2
samp_size	newton gram	2
samp_size	ounce	2
samp_size	percentage	2
samp_size	second	2
samp_size	second quintal centimetre	2
samp_size	second watt attobarn second	2
samp_size	square gram	2
samp_size	astronomical unit per gram to the 12	1
samp_size	bushel day second	1
samp_size	byte	1
samp_size	centimetre to the 10	1
samp_size	centimetre to the 11	1
samp_size	centimetre to the 12	1
samp_size	centimetre to the 13	1
samp_size	centimetre to the 14	1
samp_size	centimetre to the 15	1
samp_size	centimetre to the 16	1
samp_size	centimetre to the 17	1
samp_size	centimetre to the 18	1
samp_size	centimetre to the 19	1
samp_size	centimetre to the 4	1
samp_size	centimetre to the 5	1
samp_size	centimetre to the 6	1
samp_size	centimetre to the 7	1
samp_size	centimetre to the 8	1
samp_size	centimetre to the 9	1
samp_size	cubic centimetre ampere-turn	1
samp_size	cubic centimetre second	1
samp_size	cubic metre per day	1
samp_size	cubic millimetre set	1
samp_size	farad atomic mass unit newton gallon	1
samp_size	gal	1
samp_size	gauss atomic mass unit tonne second	1
samp_size	gigametre	1
samp_size	gram atomic mass unit tonne	1
